id,edited,likeCount,collectionCount,shareCount,wordCount,lfFreq,emojiPerWord,withImages,withVideos,imageCount,videoCount,imageTextRatio,videoTextRatio,mediaTextRatio,linkPerWord,utmLinkRatio,authorUseNickname,authorSuspicious,authorHasCreatorBadge,authorHasOfficialCreatorBadge,postCount,timeDiffDays,postFreq,maxPostsPerDay,maxPostsPer12h,postIntervalStd,businessHourRatio,weekendRatio,travelPostRatio,forumVariety,forumEvenness,avgLikes,commentCount,totalCommentCount,subcomDepth,authorReplyRatio,authorReplyLinkRatio,authorReplyUTMLinkRatio,firstCommentTimeDiff,first30MinCommentRatio
261409167,0,5,1,0,3322,0.027393136664659843,0.0,1,0,27,0,8.127633955448525,0.0,8.127633955448525,0.0,0,1,0,0,0,10,1025.4742708333333,0.00975158547066586,2,2,293.64180927957807,0.6,0.1,0.1,2.0,0.5816718657178868,8.0,2,2,0.0,0.5,0.0,0,3445.579916666667,0.0
261405483,0,4,9,1,5292,0.015684051398337114,0.015306122448979591,1,0,2,0,0.3779289493575208,0.0,0.3779289493575208,0.003968253968253968,0.0,1,0,0,0,3,42.08375,0.0712864229067039,1,1,19.784972741638672,0.0,1.0,1.0,1.0,0,12.333333333333334,1,2,0.5,0.5,0.0,0,447.85446666666667,0.0
261408553,1,3,2,0,3533,0.03085196716671384,0.0,1,0,34,0,9.623549391452023,0.0,9.623549391452023,0.0,0,1,0,0,0,44,290.25577546296296,0.1515904375367527,3,3,12.507874198819449,0.38636363636363635,0.29545454545454547,0.06818181818181818,3.169925001442312,0.7277908757023698,16.318181818181817,0,0,0,0,0,0,1469149.5069666666,0
261409712,0,2,0,0,413,0.01694915254237288,0.0,1,1,5,1,12.106537530266344,2.4213075060532687,14.527845036319613,0.0,0,1,0,0,0,76,1456.2684606481482,0.052188179620517444,2,2,69.7747237463777,0.10526315789473684,0.42105263157894735,0.09210526315789473,3.169925001442312,0.6829105408678283,4.052631578947368,0,0,0,0,0,0,1469149.5069666666,0
261412022,0,0,0,0,98,0.08163265306122448,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0.0,1,1,1,0,0.0,1.0,1.0,1.0,0,0.0,0,0,0,0,0,0,1469149.5069666666,0
261411691,1,2,3,0,4070,0.043243243243243246,0.008353808353808353,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,1,0,24,1756.8216898148148,0.013661033523857405,1,1,129.89613289671718,0.125,0.2916666666666667,0.08333333333333333,3.0,0.8448000300229475,224.95833333333334,2,4,0.5,0.0,0,0,299.50615,0.0
261405941,1,0,0,0,49,0.08163265306122448,0.0,1,1,1,1,20.408163265306122,20.408163265306122,40.816326530612244,0.0,0,1,0,0,0,4,14.118472222222222,0.28331677373023917,1,1,3.3473562253975686,0.0,1.0,0.25,2.0,0.9463946303571862,132.75,0,0,0,0,0,0,1469149.5069666666,0
261412620,0,0,0,0,295,0.05084745762711865,0.006779661016949152,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,8,1004.0375,0.007967829886831916,1,1,244.963785137528,0.625,0.375,0.125,2.584962500721156,0.9283832117695864,6.625,2,8,0.75,0.375,0.0,0,2183.5230666666666,0.0
261412400,0,0,0,0,640,0.0359375,0.003125,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,13,821.6789351851852,0.015821264782782993,2,2,62.61431820877337,0.0,0.5384615384615384,0.6153846153846154,2.0,0.7816596645276667,5.0,1,1,0.0,0.0,0,0,562.6515833333334,0.0
261412326,0,0,0,0,871,0.016073478760045924,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,2,0.22310185185185186,8.964515459638928,2,2,0,0.0,1.0,0.5,1.584962500721156,1.0,0.5,0,0,0,0,0,0,1469149.5069666666,0
