file_name,text_length,chunks_count,expected_sentiment_value,sentiment_volatility
1144.txt,381,1,2.9931,0.0
1145.txt,93,1,3.7501,0.0
1146.txt,1148,3,3.9193,0.4552
1147.txt,201,1,3.0048,0.0
1148.txt,97,1,3.9697,0.0
1149.txt,69,1,2.9708,0.0
115.txt,831,3,3.2815,0.783
1150.txt,1686,5,2.0242,0.4845
1151.txt,509,2,3.0069,0.0056
1152.txt,2138,6,2.5367,0.4924
1153.txt,71,1,2.9854,0.0
1154.txt,986,3,3.3543,0.3316
1155.txt,12043,31,2.8099,0.4259
1156.txt,48,1,4.0413,0.0
1157.txt,2409,7,3.1786,0.3663
1158.txt,2291,6,3.0507,0.3854
1159.txt,101,1,3.0563,0.0
116.txt,555,2,3.7484,0.7164
1160.txt,1320,4,3.0075,0.0087
1161.txt,243,1,3.0016,0.0
1162.txt,2114,6,2.1285,0.428
1163.txt,87,1,2.0915,0.0
1164.txt,524,2,3.6117,0.654
1165.txt,4100,11,2.5407,0.7731
1166.txt,64,1,2.9852,0.0
1167.txt,153,1,3.0148,0.0
1168.txt,2983,8,2.3061,0.4584
1169.txt,2471,7,2.372,0.4454
117.txt,2231,6,2.9007,0.247
1170.txt,87,1,2.9594,0.0
1171.txt,222,1,4.3787,0.0
1172.txt,580,2,2.0052,0.6852
1173.txt,57,1,2.9634,0.0
1174.txt,1234,4,2.2481,0.5984
1175.txt,1377,4,3.3461,0.6061
1176.txt,3985,10,3.0342,0.0923
1177.txt,179,1,3.0143,0.0
1178.txt,4416,12,3.1985,0.6769
1179.txt,164,1,3.0111,0.0
118.txt,185,1,2.9958,0.0
1180.txt,541,2,3.5048,0.5911
1181.txt,259,1,3.352,0.0
1182.txt,130,1,2.8359,0.0
1183.txt,202,1,2.9956,0.0
1184.txt,113,1,2.253,0.0
1185.txt,951,3,2.324,0.5952
1186.txt,76,1,3.0087,0.0
1187.txt,70,1,3.076,0.0
1188.txt,234,1,3.8392,0.0
1189.txt,722,2,3.0056,0.0014
119.txt,686,2,4.0979,0.094
1190.txt,172,1,3.7626,0.0
1191.txt,133,1,1.7583,0.0
1192.txt,244,1,4.0816,0.0
1193.txt,215,1,2.9816,0.0
1194.txt,156,1,3.0091,0.0
1195.txt,119,1,3.0041,0.0
1196.txt,1853,5,2.2407,0.5218
1197.txt,1948,5,3.017,0.0102
1198.txt,919,3,3.3577,0.4929
1199.txt,3073,8,3.38,0.5334
12.txt,3961,10,3.7362,0.7828
120.txt,330,1,3.041,0.0
1200.txt,112,1,2.8432,0.0
1201.txt,69,1,3.004,0.0
1202.txt,531,2,3.3171,0.2257
1203.txt,143,1,2.9698,0.0
1204.txt,1437,4,3.1259,0.1789
